Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Votes for unions — Total,Votes for unions — AFL-CIO unions,Votes for unions — Teamsters,Votes for unions — Other national unions,Votes for unions — Other local unions,Votes for no union,Valid votes cast in elections lost — Total,Total votes for unions,Total votes for unions — AFL-CIO,Total votes for unions — Teamsters,Total votes for unions — Other national,Total votes for unions — Other local,Votes for no union
A. All representation elections — 1-union AFL-CIO,127873,39514,39514,39514,,,,14657,88359,27964,27964,,,,55738
A. All representation elections — 1-union Teamsters,39182,7330,7329,,7329,,,9329,31852,8960,,8960,,,19837
A. All representation elections — 1-union Other national unions,5611,1734,1734,,,1734,,366,3877,2816,,,2816,,3036
A. All representation elections — 1-union Other local unions,5356,1670,1670,,,,1670,406,3686,1037,,,,1037,2163
A. All representation elections — 1-union TOTAL,178022,50247,39514,7329,1734,1670,19330,39081,127964,27964,8960,,1120,1037,79464
A. All representation elections — 2-union TOTAL,14190,9622,4417,1168,467,3570,705,1357,759,25,14,0,186,,2728
A. All representation elections — 3-union (or more) TOTAL,823,815,527,70,,217,1,8,,,,,,,
A. Total representation elections,193035,50684,34458,8567,2202,5457,19943,40016,28721,9152,,1225,1037,,82192
