Industrial group,Total elections,Number of elections in which representation rights were won by unions / Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Eligible employees in elections choosing representation
Food and kindred products,117,57,29,24,1,3,60,5590,4523,2741,1627,686,76,107,2182,2925
Manufacturing,1008,447,270,120,30,27,561,85018,75738,36704,22850,6048,4433,3303,39102,30498
