row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — AFL-CIO,Valid votes cast in elections won — Teamsters,Valid votes cast in elections won — Other national,Valid votes cast in elections won — Other local,Valid votes for no union (in elections won),Valid votes in elections lost — Total,Valid votes in elections lost — AFL-CIO,Valid votes in elections lost — Teamsters,Valid votes in elections lost — Other national,Valid votes in elections lost — Other local,Valid votes for no union (in elections lost)
Total RD elections,9393,2958,2274,631,0,53,1092,1550,1309,207,13,1,3813,
1-union elections (subtotal),8433,2029,1633,175,0,0,1016,1550,1309,207,13,0,3183,
1-union affiliation,,,,,,,,,,,,,,
2-union elections (subtotal),850,820,376,399,0,45,30,0,0,,,,,
2-union affiliation-pair,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),110,110,63,57,0,8,0,,,,,,,
