row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October 1, 1981","'17,693",8023,2172,904,783,5771,40
Received fiscal 1982,27749,11220,3176,1290,1475,10570,18
On docket fiscal 1982,45442,19243,5348,2194,2258,16341,58
Closed fiscal 1982,26581,10869,2989,1193,1249,10254,32
"Pending September 30, 1982",18861,8374,2364,1001,1009,6087,26
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October 1, 1981",•Z883,67,10,2,24,2009,771
Received fiscal 1982,7944,118,40,22,95,6408,1261
On docket fiscal 1982,10827,185,50,29,119,8417,2032
Closed fiscal 1982,7481,104,39,13,so,5984,1261
"Pending September 30, 1982",3346,81,11,11,39,2433,771
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October 1, 1981",'79'7,15,o,1,18,32,731
Received fiscal 1982,1976,55,4,9,65,21,1322
On docket fiscal 1982,2273,70,4,10,83,53,2053
Closed fiscal 1982,1481,54,4,8,56,36,1323
"Pending September 30, 1982",792,16,o,2,27,17,730
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
"Pending October 1, 1981",•173,9,o,o,2,2,160
Received fiscal 1982,435,38,o,1,14,9,373
On docket fiscal 1982,608,47,o,1,16,11,533
Closed fiscal 1982,394,29,o,o,13,9,343
"Pending September 30, 1982",214,18,o,1,3,2,190
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October 1, 1981",'125,4,1,o,24,6,90
Received fiscal 1982,70,1,o,o,0,2,67
On docket fiscal 1982,195,5,1,o,24,8,157
Closed fiscal 1982,72,4,1,o,1,6,so
"Pending September 30, 1982",123,1,o,o,2s,2,97
,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases
"Pending October 1, 1981",,o,o,1,2,1,26
Received fiscal 1982,*30 48,o,o,o,3,1,44
On docket fiscal 1982,78,o,o,1,5,2,70
Closed fiscal 1982,47,o,o,o,4,1,42
"Pending September 30, 1982",31,o,o,1,1,1,28
,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases
"Pending October 1, 1981",*151,16,o,o,2,3,130
Received fiscal 1982,375,19,o,2,6,5,343
On docket fiscal 1982,526,35,o,2,8,8,473
Closed fiscal 1982,368,18,o,2,6,3,339
"Pending September 30, 1982",158,17,o,o,2,5,134
