row_label,Number of unions and affiliation in election,Total RC elections / Number,Total RC elections / Percent,Elections won by Total / Number,Elections won by Total / Percent,Elections won by AFL-CIO / Number,Elections won by AFL-CIO / Percent,Elections won by Teamsters / Number,Elections won by Teamsters / Percent,Elections won by Other national / Number,Elections won by Other national / Percent,Elections won by Other local / Number,Elections won by Other local / Percent,Elections won by / Number,Elections won by / Percent,Total eligible voters / Number
B. ELECTIONS IN RC CASES — section header,,,,,,,,,,,,,,,,
Total RC elections,7637,62.3,3055,3007,1301,312,136,2881,551408,314004,205022,38541,23931,23600,237314,
1-union elections (subtotal),6815,59.4,4050,2765,1171,208,115,2765,,,,,,,,
1-union election,,,,,,,,,,,,,,,,
2-union elections (subtotal),782,85.8,671,305,126,103,7,111,110770,97823,49098,11282,17146,19607,12947,
2-union election,,,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),40,87.5,35,27,4,1,3,5,8387,7238,5790,609,243,443,1131,
3+-union election,,,,,,,,,,,,,,,,
Section A tail rows from p0218 (All R elections / 1-union / 2-union / 3+-union subtotals + affiliation breakdowns),,,,,,,,,,,,,,,,
