Division and State,Total elections / Total,Number of elections in which representation rights were won by unions / Total,Number of elections in which no rep was chosen / AFL-CIO unions,Number of employees eligible to vote / Other national unions,Total valid votes cast / Other local unions,Valid votes cast for unions / Number of elections in which no rep was chosen,Eligible employees in units choosing rep no union / Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Other national unions,Other local unions,Other no rep,Eligible employees in units choosing rep no union
Pacific,616,301,267,7,27,315,27657,23160,11891,10827,315,749,11269,1434
Puerto Rico,39,21,1,,,17,2426,2017,1724,,,,598,703
Virgin Islands,7,5,,,,,,,,,,,,
Outlying Areas,46,30,9,5,16,,2811,2329,1406,908,,,923,1357
"Total, all States and areas",3572,1665,1451,78,136,1907,210834,185754,88343,78253,4129,5961,97411,89659
