Division and State,Number of elections / Total,Number of elections / In which representation rights were won by — A F L affiliates,Number of elections / In which representation rights were won by — C I O affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which employees voted to decertify,Employees eligible to vote,Total valid votes,Valid votes cast for — / A F L affiliates,Valid votes cast for — / C I O affiliates,Valid votes cast for — / Unaffiliated unions,Valid votes cast for — / No union,Employees in units choosing no representation
New England,8,0,2,0,6,368,348,20,131,0,197,158
Maine,3,0,1,0,2,127,119,0,58,0,61,58
Massachusetts,2,0,0,0,2,99,77,0,57,0,20,59
Connecticut,2,0,0,0,2,116,109,0,14,0,95,
Middle Atlantic,14,1,0,1,12,676,601,76,48,38,39,96
New York,10,1,0,0,9,502,446,72,88,37,305,96
East North Central,28,5,4,1,18,1698,1531,290,338,156,777,899
Ohio,11,2,2,0,7,949,766,116,256,33,326,418
Indiana,7,1,1,0,5,165,144,28,0,9,72,
Illinois,5,2,1,0,2,138,130,26,23,25,56,102
Michigan,4,0,0,1,3,199,142,35,18,51,47,121
Wisconsin,1,0,0,0,1,91,84,0,9,0,,
West North Central,14,2,1,1,10,638,578,107,146,49,276,380
