row_label,Number of cases / Total,Number of cases / Identification of complainant or petitioner / AFL-CIO affiliates,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals,Number of cases / Identification of complainant or petitioner / Employers
All cases 1,,,,,
"Pending July 1, 1956",3768,2130,186,998,454
Received fiscal 1957,13356,8401,769,2727,1459
On docket fiscal 1957,17124,10531,955,3725,1913
Closed fiscal 1957,12708,8153,707,2483,1365
"Pending June 30, 1957",4416,2378,248,1242,548
Unfair labor practice cases,,,,,
"Pending July 1, 1956",2318,964,72,927,355
Received fiscal 1957,5506,2233,170,2299,804
On docket fiscal 1957,7824,3197,242,3226,1159
Closed fiscal 1957,5144,2160,156,2071,757
"Pending June 30, 1957",2680,1037,86,1155,402
Representation cases,,,,,
"Pending July 1, 1956",1444,1166,114,65,99
Received fiscal 1957,7797,6168,598,376,655
On docket fiscal 1957,9241,7334,712,441,754
Closed fiscal 1957,7514,5993,551,362,608
"Pending June 30, 1957",1727,1341,161,79,146
Union-shop deauthorization cases,,,,,
"Pending July 1, 1956",6,,,,6
Received fiscal 1957,53,,1,52,
On docket fiscal 1957,59,,1,58,
Closed fiscal 1957,50,,0,50,
"Pending June 30, 1957",9,,1,8,
