Type of election / case,Objections filed,Objections withdrawn,Objections ruled upon,Overruled Number,Overruled Percent of total ruled upon,Sustained Number,Sustained Percent of total ruled upon
All representation elections,591,47,544,408,75.0,136,25.0
By type of case — RC cases,502,38,464,346,74.6,118,25.4
By type of case — RM cases,20,0,20,16,80.0,4,20.0
By type of case — RD cases,69,9,60,46,76.7,14,23.3
By type of election — Consent elections,14,1,13,9,69.2,4,30.8
By type of election — Stipulated elections,430,35,395,296,74.9,99,25.1
By type of election — Expedited elections,0,0,0,0,,0,
By type of election — Regional Director-directed elections,142,11,131,99,75.6,32,24.4
By type of election — Board-directed elections,5,0,5,4,80.0,1,20.0
