Action taken,Total all,Employer - Total,Employer - Agreement of parties - Informal settlement,Employer - Agreement of parties - Formal settlement,Employer - Pursuant to - Recommendations of administrative law judge,Employer - Pursuant to - Order of - Board,Employer - Pursuant to - Order of - Court,Union - Total,Union - Agreement of parties - Informal settlement,Union - Agreement of parties - Formal settlement,Union - Pursuant to - Recommendations of administrative law judge,Union - Pursuant to - Order of - Board,Union - Pursuant to - Order of - Court
A. By number of cases involved.,,,,,,,,,,,,,
Notices posted or other assistance with notices,,,,,,,,,,,,,
B. Other types of employees affected.,,,,,,,,,,,,,
