Case number,Union and company,Date petition filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Held on court docket,Date injunction denied
"2-CC-4, 7","International Longshoremen's Association, et al. (Cargill Inc., & Cargo Carriers); Oil Transfer Corp.).",,10 (l),"Oct. 2, 1947",,,,"Oct. 28, 1947"
10-CC-1,"Carpenters, Local 74 (Watner Specialty Stores).","Sept. 22, 1947",10 (l),,,,,"Oct. 28, 1947"
2-CC-2,"United Mine Workers, et al. (Mountain Materials Corp.).",,10 (l),,,,,
2-CC-11,"Teamsters, Local 294 (Distinguishery Wares).","Nov. 26, 1947",10 (l),,,"Jan. 17, 1948",,"Dec. 31, 1947"
2-CC-1,"Teamsters, Local 294 (Conway's Express).",,10 (l),,,"Jan. 17, 1948",,
17-CC-1,"Carpenters (Klassen, Hodgson & Wadsworth).","Dec. 1, 1947",10 (l),,,"Jan. 8, 1948",,
"2-CC-16, 18, …","Metropolitan Federation of Architects, Local 231 (Project Engineering & Design Associates).","Dec. 8, 1947",10 (l),,,"Jan. 26, 1948",,
"2-CC-22, 24","Wine, Liquor & Distillery Workers, Local 1, AFL (Schenley Distilling Corp.).","Dec. 8, 1947",10 (l),,,"Dec. 11, 1947","Jan. 26, 1948",
21-CC-13,"Printing Specialty & Paper Converters, Local 388 (Sleinrigth Pacific, Ltd.).","Dec. 17, 1947",10 (l),,,"Feb. 6, 1948",,
2-CC-21,"International Typographical Union, et al. (American Newspaper Publishers Association).","Jan. 20, 1948",10 (l),,,"Feb. 27, 1948",,
"15-CC-1, 2, 3, 4","Carpenters, Local 47 AFL (International Rice Milling, et al.).","Jan. 27, 1948",10 (l),,,,,
13-CC-3,"Teamsters, AFL (International Rice Milling, et al.).","Jan. 27, 1948",10 (l),,,,,
7-CA-27,General Motors Co. (UAW-CIO).,"Jan. 28, 1948",10 (j),,,"June 1, 1948",,
2-CC-19,"Carpenters, Local 16, AFL (Gould & Preisner).","Jan. 27, 1948",10 (l),,,,,"Mar. 31, 1948"
2-CC-3,"Amalgamated Meat Cutters, Locals 437, 437, 439, 638, AFL (Great Atlantic & Pacific Tea Co.).",,10 (l),,,,,
2-CC-1,"Electrical Communications Association, CIO and Local 9 (Commercial Cable Co., et al.).","Mar. 17, 1948",10 (l),,,,"Apr. 2, 1948",
7-CC-1,"Bricklayers, Local 1, AFL (Osterink Construction Co.).","Apr. 1, 1948",10 (l),,,"Apr. 23, 1948",,
9-CA-30,United Mine Workers & Lewis (Southern Coal Producers Association).,"May 24, 1948",10 (j),,,,,
2-CB-Ad,"International Brotherhood of Electrical Workers, Local 401, AFL (Sunset Lamps).","June 20, 1948",10 (l),,,"June 4, 1948",,
"21-CC-25, 26, 27, 28, 29, 34","Kern County Farm Labor Union, et al. (Di Giorgio Wine & Fruit Companies).","June 18, 1948",10 (l),,,,,
21-CA-95,Boeing Airplane Co. (Machinists Aeronautical Industrial Lodge No. 71).,"June 18, 1948",10 (j),,,,,
