Standard Federal Regions,All cases,UNUSED_DETAIL
Connecticut,441,
Massachusetts,721,
Maine,89,
New Hampshire,75,
Rhode Island,85,
Vermont,25,
Region I,1436,
Delaware,50,
New Jersey,461,
New York,3010,
Pennsylvania,1225,
Puerto Rico,27,
Region II,4773,
District of Columbia,269,
Maryland,431,
Virginia,1217,
West Virginia,234,
Region III,2628,
Alabama,408,
Florida,657,
Georgia,370,
Kentucky,255,
Mississippi,132,
North Carolina,292,
South Carolina,105,
Tennessee,359,
Region IV,2578,
Illinois,1332,
Indiana,515,
Michigan,1128,
Minnesota,327,
Ohio,1289,
Wisconsin,467,
Region V,5383,
Arkansas,120,
Louisiana,322,
New Mexico,114,
