Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, inactive, pending, etc."
Under sec. 10 (j):,,,,
(a) Against unions,1,0,0,1 withdrawn.
(b) Against employers,0,0,0,0
Under sec 10 (l),78,22,5,32 settled. 6 withdrawn. 7 alleged illegal activity suspended. 9 pending.
Total,79,22,5,55.
