row_label,Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Withdrawal — Before issuance of complaint,5541,36.4,3802,36.7,1115,41.9,438,35.0,,,19,27.5,167,40.5,
Withdrawal stage,,,,,,,,,,,,,,,
Dismissal,4573,30.1,3141,30.4,1020,38.4,262,20.9,,,21,30.5,122,29.5,
Dismissal stage,,,,,,,,,,,,,,,
By Board decision,,,,,,,,,,,,,,,
By circuit court of appeals decree,,,,,,,,,,,,,,,
By Supreme Court action,10,.1,,,,,,,,,,,,,
10(k) Actions (see table 7A for details of dispositions),448,2.9,,,,,,,448,96.3,,,,,
Otherwise (compliance with order of trial examiner or Board not achieved — firms went out of business),11,.1,11,.1,,,,,,,,,,,
