row_label,col_1,col_2,col_3,col_4
New England States,241,456,-16.0,-3.0
Middle Atlantic States,795,1463,-36.0,+1.6
East North Central States,922,1869,-30.7,+5.9
West North Central States,287,534,-37.7,-1.1
South Atlantic States,379,475,-18.8,-3.8
East South Central States,176,307,-13.7,+39. 5
West South Central States,177,256,-20.6,-28.5
Mountain States,82,177,-46.4,+6.0
Pacific States,303,679,-48.5,+6.3
