row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Cases pending June 30, 1938",875,,31.6,137;637,,45.5
"- - Cases received July 1, 1938, to June 30, 1939",1895,,08.4,164834,,54.5
Total cases on docket,2.770,,100.0,302471,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,882,51.4,31.9,79585,51.7,26.3
By dismissal,168,9.8,6.1,7393,4.8,2.4
By withdrawal,497,28.9,17.9,"• 27, 567",17.9,9.1
Otherwise,13,.8,.5,1100,.7,.4
Total cases closed before issuance of complaint,1560,90.9,56.4,115645,75.1,38.2
Cases closed al ter issuance of complaint:,,,,,,
By settlement before hearing,10,.6,.4,1803,i.2,.6
By settlement after hearing,20,1.2,. 6,10720,7.0,3.5
By dismissal before hearing,,,,,,
By dismissal after hearing,6,.3,.2,3040,2.0,1.0 (1)
By withdrawal before hearing,.2,.1,.1,37,(1),
By withdrawal after hearing,7,.4,.3,1544,1.0 .,.5
By intermediate report finding no violation,4,.2,.1,577,. 4,.2
By compliance with intermediate repot,12,.7,.4,777,.5,. 3
By dismissal by Board decision,9,. 5,.3,1004,.7,.3
By compliance with Board decision,88,5.1,3.2,18642,12.1,6.2
Total cases closed after issuance of complaint,158,9.1,5.6,38144,24.9,12.6
"Total cases closed July 1, 1938, to",1718,100.0,,,,
"June 30, 1939",,,,153789,100.0,
"Cases pending June 30, 1939",1052,,38.0,148682,,49.2
