Item,Number
Total Board decisions,1963
Contested decisions,947
Unfair labor practice decisions,671
Initial (includes those based on stipulated record),599
Supplemental,11
Backpay,20
Determinations in jurisdictional disputes,41
Representation decisions,274
After transfer by regional directors for initial decision,16
