row_label,col_1,col_2,col_3,col_4
Proceedings under sec. 10 (j) (a) Against unions (b) Against employers,2 0,1,3 1,
(c) Against unions arid em- ployers,1-,1,0,
Proceedings under sec. 10 (1) __,21,8,0,4 settled. 1 withdrawn. 8 inactive.*
Totals,24,10,1,13
