Division and State 1,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA 2,Unfair labor practice cases / CB 2,Unfair labor practice cases / CC 2,Unfair labor practice cases / CD 2,Representation cases / All R cases,Representation cases / RC 2,Representation cases / RM 2,Representation cases / RD 2
Outlying areas,558,277,189,65,19,4,281,258,20,3
Alaska,48,31,15,8,4,4,17,17,0,0
Hawaii,126,41,30,6,5,0,85,76,7,2
Puerto Rico,374,204,143,51,10,0,170,156,13,1
Canada,0,0,0,0,0,0,0,0,0,0
Virgin Islands,10,1,1,0,0,0,9,9,0,0
