row_label,Industrial group 2,Total elections,Number of elections in which representation rights were won by / AFL-CIO affiliates,Number of elections in which representation rights were won by / Teamsters,Number of elections in which representation rights were won by / Other national unions,Number of elections in which representation rights were won by / Unaffiliated national unions,Number of elections in which representation rights were won by / Local unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for / AFL-CIO affiliates,Valid votes cast for / Teamsters,Valid votes cast for / Other national unions,Valid votes cast for / Unaffiliated national unions,Valid votes cast for / Local unaffiliated unions,Valid votes cast for / No union,Employees in units chosen representation
Mining (subtotal),86,37,9,4,0,,33,5768,5165,1734,177,1762,,59,1443,4026,
"Mining sub-industries (Metal mining, Coal mining, Crude petroleum and natural gas, Nonmetallic minerals)",,,,,,,,,,,,,,,,,
Construction,176,98,3,44,,,26,5758,5335,3123,375,1442,164,,1853,3536,
Wholesale and retail trade (subtotal),1062,281,286,30,12,,443,36770,34439,10772,9153,1067,240,,15447,11621,
"Wholesale and retail sub-industries (Wholesale trade, Retail trade)",,,,,,,,,,,,,,,,,
"Finance, insurance, and real estate",53,13,8,0,1,,27,5166,5000,1302,,53,,,2326,1319,
"Transportation, communication, and other public utilities (subtotal)",989,177,211,11,10,,260,50799,46425,22733,13197,1623,,,8890,2442,
"Transportation/communication sub-industries (Local & suburban; Motor freight, warehousing, & transportation services; Water transportation; Other transportation; Communications; Heat/light/power/water/sanitary)",,,,,,,,,,,,,,,,,
Services (subtotal),615,140,73,17,10,,189,17131,14786,5494,,,,,,10174,
"Services sub-industries (Hotels, motels & other lodging; Personal services; Auto repair, garage & misc repair; Motion pictures & amusement; Medical & health; Nonprofit; Miscellaneous services)",,,,,,,,,,,,,,,,,
