row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
...0,V,VMmN,q,"ON.,",e .. 9,VN.NgNN.,n,n.n...,Iz,,
000N,v,0.N0,M 0.0.,,N,00000 . 00 .,".02p ., 000",",",vo,v,2
0000,m .000,,,,,E-.0.J.0000,".1, .;: l s...",g,"4,.0","4,4",g
co.oni,,"c_90,42.,",2,MV.g,e .. E: .,...mg g2 .4■ 8 g .,gq0 2 . .,§,n.,,"M m , .7"
'C 'C,,"VV,M",R,"0.4,4 2. .",,24cmc.mm.an ..,22.nmo A,,no,n,g m
82 A2 - --,§,o.00 2 g 2n,. s,"00.40 I l s. , .: _ i2",04 2,"VONW,0,0 1 .....m.. E",v 0 .M R 44.00-,= 8,"., 0..",g,M .- ..
"'4UA g . 0,4",E'4 04 ..;,gRgw,R n,"& S.= ....,",A n,g228.20 . . 1Z,"m g g g 8""' . a",t?.' o .,r,g,
....,,'C,m,"o.N , C , 4",2,mo..o4com,2 04.4rgvmo .,$ .,mo,m,i
oo..,m,"N,NO",,.0.NO,M,00.0.000 N,.NOVVO,N .,00,0,2
0000,m,,,,..t.,".00..no,-.",'C,2,00,0,R
momv,g,.04mo,o,ono=,=,moom.mo...,g OVNNNO,V,00,0,. g
momg,1 2,i nv . .,72,"..., , t, -. '",n,", a4MNM.EN2 g",gwmo,R,,,
rIAOA ...,2 n,AA3E1,g,mm,,l:174'4g2=.1. .,"g 22,74*2 ."" . .",,A°,A,2 m
gA iEln,g a,pA2,,"""sgg -","v ,-7",W4741MA2,. ggRg4lv,E,n c°,"v, -",8 - R
VAA,"8- ,,i-",p4E,"2 ,","Eaggi ,",g a,t; g tnteinl,"g ,-; g g E8,-8- e",i e,n-,Ls,E _ m
'--82 2E4Wm,"A , 4",52N8 aa..,a a,"""ZZ 'KV R....a -",§ e,"20,04w-m N a. c 'xiv,2-c-;","§ a 1, aUm .; t,: .",M a e,", L .., g''",V,R a
,,,,,0 0,,,g,"8g F4,11",?,.C1 0
