row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
cif 14''' ' Ig 11,0,.4.,,,N.M=0,N .,"-,.. CO .",m v,"MC000,0",CO
"-0`8,d3 Ew-EzIti <E8",0 a,M,M00000,CO,.NN0N C-,"00,0",,-a,000000,0
GtC nq v,M,CO,FS L-Wn CO N,L'•8,CO m.eqm,m,"N. , 0",b-,. CO0000,
1 S g 1 4,2,CO m - 422282,,CC,"'S., """,2,mmmm,CO 0,",.eqmm.",g
1 S g 1 4,,3,"4""'°4'mg:=I",",S1",...co.,a,"-,,eq",g,mN...N,CO
1 S g 1 4,0 w,"m , w","'8,-2,;1'74 W.,.n.",CC .-. . .,",1322",2 m,NVV4 ....,`q,mm 2el',"CO ,-,"
1 S g 1 4,w i,CO . C,"g,4o cMg V V •-• , ZP 1-1 CO •-■",CC,g g c lfg . .,g CO,0702.. 07-4 . gN,C 0,gV.-=1g'4 ._.,CO eq
"/ 8 E E 0. ... 2 ,.. , C",d,c .!.. .,.... mm,"CO ,",00..N,,"., w,,","g , , , ,",mm....,m
"/ 8 E E 0. ... 2 ,.. , C",8,0,.0=0.0,",,,",00000,0,.0.0,N,",0000.",CO
"/ 8 E E 0. ... 2 ,.. , C",d,,"N,...0",m,000 .1 N,CO,00N.,CO,NOOON0,","
"/ 8 E E 0. ... 2 ,.. , C",e,". ""","gmF-It-g'""",g .,"0.0,.. .",a,NN W0,,". ,00.0",CO
"/ 8 E E 0. ... 2 ,.. , C",,m 00,",m,...","- ,",-v.. m,m .,"..,,,,o.",1,.00.. . - -,gi
"/ 8 E E 0. ... 2 ,.. , C",6,"N ,","m ,-",,mmn,4,g4p,. m M,N2'0.-. LC,s 1 .-I
"/ 8 E E 0. ... 2 ,.. , C",.4 u,CC CO m,".,mmmm 2 0040 VASgN .4 .._; ._: .4",CO . c:,".0mm-, 7..m4 g",.4,Eng,,p4;124,2 t-.
"/ 8 E E 0. ... 2 ,.. , C",u <I,", ..-. 4",.4..02-4 a...;..4. a,. e;,"aM,40. '"" M•--. 8 .4",2 a,"--, c 2 g a n N M. .4",g p N,p2M,m .... 0 .4
... 1,... 1,"M co . ,",g liRIE C .4 a a .4,2 .-t .,E48§g ...,0 V a,''' ggti' vi,i - N,W=WWWM,g e ..1
2 0 1 1 . / w g cr),". . . . . . . • 5 ; Ø , g S .5 • i IA : .c i i • 0E",==AAta,".01 § 4 f,g•Si",,"'f.,i ...2zoEt",,• . . . z 11/1,,". . • • . • . . . . . • 0 g • • 6 ,gg . lit. ' 2Soslg. d z c8",. . . . 0 1 g 2e
