Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop Deauthorization cases — UD,Amendment-of-Certification cases — AC,Unit-Clarification cases — UC
Maine,116,64,47,16,2,0,0,0,47,42,1,4,0,0,0
New Hampshire,96,48,36,7,2,0,0,0,48,45,0,3,0,0,0
Vermont,26,17,16,1,0,0,0,0,9,9,0,0,0,0,0
Massachusetts,1165,785,472,187,84,33,0,10,357,326,16,15,3,1,0
Rhode Island,149,93,67,23,1,0,0,1,54,44,4,6,2,0,0
Connecticut,432,255,169,60,11,9,0,6,168,147,6,15,1,0,0
New England — Division total,1984,1277,777,304,128,49,2,17,673,600,34,39,6,3,25
New York,3533,2497,1512,841,70,47,3,20,972,808,99,61,31,0,21
New Jersey,1538,989,601,272,69,23,1,10,513,440,41,22,4,1,0
Pennsylvania,2319,1468,906,388,105,53,1,10,1083,850,127,67,11,1,9
Middle Atlantic — Division total,7440,4954,2819,1471,365,127,2,40,2418,2098,162,171,47,11,49
Ohio,2544,1768,1135,418,142,46,3,19,639,546,40,53,19,5,13
Indiana,1555,1114,746,265,61,37,0,5,418,369,12,37,13,1,9
Illinois,2673,1838,1165,385,168,73,4,44,788,684,61,43,19,4,24
Michigan,1957,1219,845,263,60,32,0,8,672,485,44,94,49,0,13
Wisconsin,975,606,408,111,37,44,0,5,372,304,23,21,0,0,5
East North Central — Division total,9734,6557,4299,1642,404,118,12,82,3049,2582,191,296,60,15,53
Iowa,350,185,134,24,18,8,0,1,153,135,7,11,9,0,3
Minnesota,496,218,142,34,26,13,0,3,269,230,25,14,0,0,8
Missouri,1478,1030,714,196,55,25,1,27,435,360,28,47,3,0,5
North Dakota,34,19,18,1,0,0,0,0,14,14,0,0,0,0,1
South Dakota,108,47,29,13,5,0,0,0,60,47,8,5,1,0,0
Nebraska,187,106,79,23,4,0,0,0,79,71,0,8,1,0,1
Kansas,269,146,115,24,5,1,1,0,121,97,13,11,2,0,0
West North Central — Division total,3002,1804,1271,325,113,43,1,33,1157,964,83,90,13,0,20
Delaware,88,49,28,20,0,0,0,1,38,31,3,4,1,0,0
Maryland,622,371,247,68,14,29,0,13,238,199,17,22,7,1,5
District of Columbia,317,151,115,20,10,0,0,6,163,129,20,14,0,0,3
Virginia,390,212,138,44,10,16,0,4,166,139,16,11,5,0,7
West Virginia,390,259,165,65,23,1,0,5,126,98,5,23,1,0,4
