Status,Total,Identification of filing party AFL-CIO unions,Identification of filing party Teamsters,Identification of filing party Other national unions,Identification of filing party Other local unions,Identification of filing party Individuals,Identification of filing party Employers
"CA cases — Pending July 1, 1971",5894,3074,683,318,220,1595,4
CA cases — Received fiscal 1972,17736,7612,2045,665,547,6856,11
CA cases — On docket fiscal 1972,23630,10686,2728,983,767,8451,15
CA cases — Closed fiscal 1972,16725,7027,2011,665,506,6505,11
"CA cases — Pending June 30, 1972",6905,3659,717,318,261,1946,4
"CB cases — Pending July 1, 1971",1465,34,9,6,23,1001,392
CB cases — Received fiscal 1972,5985,71,15,22,41,4731,1105
CB cases — On docket fiscal 1972,7450,105,24,28,64,5732,1497
CB cases — Closed fiscal 1972,5747,71,13,24,41,4493,1105
"CB cases — Pending June 30, 1972",1073,34,13,11,4,23,1239
"CC cases — Pending July 1, 1971",485,3,1,5,14,10,452
CC cases — Received fiscal 1972,1947,12,1,45,41,50,1798
CC cases — On docket fiscal 1972,2432,15,2,50,55,60,2250
CC cases — Closed fiscal 1972,1928,13,1,41,48,51,1774
"CC cases — Pending June 30, 1972",504,20,1,1,8,7,476
"CD cases — Pending July 1, 1971",208,11,0,1,3,2,191
CD cases — Received fiscal 1972,649,25,3,5,20,8,588
CD cases — On docket fiscal 1972,857,36,3,6,23,10,779
CD cases — Closed fiscal 1972,630,27,2,6,17,7,571
"CD cases — Pending June 30, 1972",227,9,1,0,6,3,208
"CE cases — Pending July 1, 1971",58,0,0,1,1,5,49
CE cases — Received fiscal 1972,86,0,0,0,11,3,71
CE cases — On docket fiscal 1972,144,0,0,1,2,16,120
CE cases — Closed fiscal 1972,79,0,0,0,2,7,62
"CE cases — Pending June 30, 1972",65,0,0,1,0,9,58
"CP cases — Pending July 1, 1971",96,2,2,2,5,6,79
CP cases — Received fiscal 1972,449,4,0,1,3,17,417
CP cases — On docket fiscal 1972,545,6,2,3,9,14,496
CP cases — Closed fiscal 1972,446,4,3,3,8,18,410
"CP cases — Pending June 30, 1972",99,2,0,1,1,5,86
