Participating unions,Total elections,Percent won,Elections won by unions - Total won,Elections won by unions - AFL-CIO unions,Elections won by unions - Teamsters,Elections won by unions - Other national unions,Elections won by unions - Other local unions,Elections in which no representative chosen,Employees eligible to vote - Total,Employees eligible to vote - In elections won,Employees eligible to vote - In units won by AFL-CIO unions,Employees eligible to vote - In units won by Teamsters,Employees eligible to vote - In units won by other national unions,Employees eligible to vote - In units won by other local unions,In elections in which no representative chosen
A. All representation elections — AFL-CIO,4485,42.0,1883,1883,,,,2602,287561,92200,92200,,,,195751
Teamsters,2166,37.6,815,,815,,,1351,78714,20938,,20938,,,57776
Other national unions,213,52.6,112,,,112,,101,12069,5794,,,5794,,7003
Other local unions,280,49.6,143,,,,143,137,14954,6332,,,,6332,8522
1-union elections,7144,41.3,2953,1883,815,112,143,4191,394410,125264,92200,20938,5794,6332,269152
2-union elections,358,76.3,273,138,47,18,70,85,53945,39620,20822,5701,5770,7327,14325
3 (or more)-union elections,10,80.0,8,1,1,1,,2,882,348,187,86,75,,534
Total representation elections,7512,43.1,3234,2025,865,131,213,4278,449243,165232,113219,26725,11639,13649,284011
