Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA cases,Unfair labor practice cases — CB cases,Unfair labor practice cases — CC cases,Unfair labor practice cases — CD cases,Representation cases — All R cases,Representation cases — RC cases,Representation cases — RM cases,Representation cases — RD cases
Total,16659,9260,6068,2473,527,192,7399,6284,626,489
New England,774,420,266,107,33,14,354,296,36,22
Middle Atlantic,3343,1836,1123,555,108,50,1507,1241,152,114
New York,1791,1058,638,351,46,23,733,595,71,67
East North Central,3385,1818,1199,502,92,25,1567,1331,129,104
West North Central,1265,532,399,115,29,9,733,639,31,43
South Atlantic,2232,1372,995,315,45,17,860,779,46,35
East South Central,1286,894,582,188,106,18,392,344,23,25
West South Central,1230,659,443,162,28,26,571,486,66,19
Mountain,737,409,228,97,44,30,348,296,24,24
Pacific,1915,1017,595,365,36,21,898,715,99,84
California,1485,775,453,277,30,15,710,561,80,69
