Status,Total,Identification of filing party — AFL-CIO Unions,Identification of filing party — Other National Unions,Identification of filing party — Other local Unions,Identification of filing party — Individuals,Identification of filing party — Employers
"All Cases — Pending October 1, 2002",24682,15620,737,782,6555,988
All Cases — Received fiscal 2003,33715,18420,864,978,11853,1600
All Cases — On docket fiscal 2003,58397,34040,1601,1760,18408,2588
All Cases — Closed fiscal 2003,35766,20056,948,1014,12054,1694
"All Cases — Pending September 30, 2003",22631,13984,653,746,6354,894
"Unfair labor practice cases — Pending October 1, 2002",22773,14335,690,704,6169,875
Unfair labor practice cases — Received fiscal 2003,28781,14990,685,742,10937,1427
Unfair labor practice cases — On docket fiscal 2003,51554,29325,1375,1446,17106,2302
Unfair labor practice cases — Closed fiscal 2003,30618,16438,760,793,11127,1500
"Unfair labor practice cases — Pending September 30, 2003",20936,12887,615,653,5979,802
"Representation cases — Pending October 1, 2002",1717,1202,46,70,320,79
Representation cases — Received fiscal 2003,4654,3325,171,222,805,131
Representation cases — On docket fiscal 2003,6371,4527,217,292,1125,210
Representation cases — Closed fiscal 2003,4849,3494,180,206,819,150
"Representation cases — Pending September 30, 2003",1522,1033,37,86,306,60
"Union-shop deauthorization cases — Pending October 1, 2002",60,,,,60,
Union-shop deauthorization cases — Received fiscal 2003,107,,,,107,
Union-shop deauthorization cases — On docket fiscal 2003,167,,,,167,
Union-shop deauthorization cases — Closed fiscal 2003,103,,,,103,
"Union-shop deauthorization cases — Pending September 30, 2003",64,,,,64,
"Amendment of certification cases — Pending October 1, 2002",6,6,0,0,0,0
Amendment of certification cases — Received fiscal 2003,11,9,1,1,0,0
Amendment of certification cases — On docket fiscal 2003,17,15,1,1,0,0
Amendment of certification cases — Closed fiscal 2003,10,8,1,1,0,0
"Amendment of certification cases — Pending September 30, 2003",7,7,0,0,0,0
"Unit clarification cases — Pending October 1, 2002",126,77,1,8,6,34
Unit clarification cases — Received fiscal 2003,162,96,7,13,4,42
Unit clarification cases — On docket fiscal 2003,288,173,8,21,10,76
Unit clarification cases — Closed fiscal 2003,186,116,7,14,5,44
"Unit clarification cases — Pending September 30, 2003",102,57,1,7,5,32
