Stage of disposition,All C cases - Number,All C cases - Percent of cases closed,CA cases - Number,CA cases - Percent of cases closed,CB cases - Number,CB cases - Percent of cases closed,CC cases - Number,CC cases - Percent of cases closed,CD cases - Number,CD cases - Percent of cases closed,CE cases - Number,CE cases - Percent of cases closed,CG cases - Number,CG cases - Percent of cases closed,CP cases - Number,CP cases - Percent of cases closed
Total number of cases closed,41020,100.0,29351,100.0,8640,100.0,1960,100.0,427,100.0,126,100.0,38,100.0,478,100.0
Before issuance of complaint,34357,83.8,23984,81.4,7958,92.2,1603,81.6,401,93.9,93,73.8,24,63.0,394,82.5
"After issuance of complaint, before opening of hearing",4715,11.5,3792,12.9,496,5.7,311,15.9,16,3.8,24,19.0,8,21.1,68,14.2
"After hearing opened, before issuance of administrative law judge's decision",365,0.9,322,1.1,30,0.3,7,0.4,,,,,2,5.3,4,0.8
"After administrative law judge's decision, before issuance of Board decision",53,0.1,37,0.1,14,0.2,2,0.0,,,,,,,,
After Board order adopting administrative law judge's decision in absence of exceptions,266,0.6,232,0.7,27,0.3,3,0.0,,,1,0.2,,,1,0.2
"After Board decision, before circuit court decree",902,2.2,760,2.6,103,1.2,27,1.4,5,1.2,5,4.0,2,5.3,,
"After circuit court decree, before Supreme Court action",308,0.8,283,1.0,11,0.1,7,0.4,1,,2,1.6,,,,
After Supreme Court action,54,0.1,51,0.2,1,0.0,,,2,0.5,,,,,,
