Name of case,Decision issued
Atlantic States Motor Lines,"Aug. 11, 1939"
"Geo. Benz Sons, Inc.","May 29, 1940"
Bishop Products Co.,"Oct. 2, 1939"
Blue Valley Coal Corporation,"Nov. 13, 1939"
"Boston Leather Specialties Co., Inc.","May 18, 1940"
Brodhaven Manufacturing Co.,"May 17, 1940"
"Brooklyn Yarn Dye Co., Inc.","Aug. 17, 1939"
"California Fig Growers & Packers, Inc.","May 28, 1940"
Champion Paper & Fiber Co.,"Jan. 27, 1940"
Chicago Daily Drovers Journal,"Sept. 25, 1939"
"Columbia Mills, Inc.","Mar. 13, 1940"
"Dawson Collieries, Inc.","Jan. 13, 1940"
Dawson Daylight Coal Co.,"Nov. 13, 1939"
Empire Mining Co.,Do.
Endicott Johnson Corporation,"Sept. 2, 1939"
"J. P. Fischer, Inc.","Mar. 26, 1940"
Flat Creek Coal Co.,"Nov. 13, 1939"
Hart Coal Corporation,Do.
"Maurice Holman, Inc.","Dec. 11, 1939"
"Jacobs Manufacturing Co., E. P. Jacobs, Mrs. Anna D. Harris, and Mrs. Fletcher Benham, doing business as","May 9, 1940"
Kelly Axe & Tool Co.,"July 15, 1939"
Kelly Axe & Tool Works,Do.
Kirkham Engineering Corporation,"Jan. 2, 1940"
"Kolodney & Meyers, Inc.","Oct. 30, 1939"
Lick Creek Coal Co.,"Nov. 13, 1939"
Lincoln Engineering Co.,"May 2, 1940"
"Linderme Tube Co., The.","Oct. 27, 1939"
Luckenbach Steamship Co.,"Jan. 6, 1940"
"Malina Co., Inc.","Sept. 11, 1939"
Milton Box Co.,"Jan. 29, 1940"
Newcoal Corporation,"Nov. 13, 1939"
Norton Coal Co.,Do.
Ohio Rubber Co.,Do.
Overhead Door Corporation,"July 26, 1939"
Pacific Gas Heating Co.,"Apr. 17, 1940"
Pacific Grape Products Co.,"May 31, 1940"
"Perry-Fay Co., The.","May 28, 1940"
Producers Cotton Oil Co.,"Sept. 16, 1939"
Providence Coal Mining Co.,"Mar. 27, 1940"
"Rayner Dalheim & Co., Inc.","Oct. 17, 1939"
Reade Mfg. Co.,"Oct. 19, 1939"
Reliable Rubber Co.,"May 27, 1940"
Reynolds Spring Co.,"Sept. 26, 1939"
"Rosa-Lee Mfg. Co., Inc.","Aug. 21, 1939"
Ruckman Coal Co.,"Nov. 13, 1939"
"Southern Oil Transportation Co., Inc.","Aug. 21, 1939"
Stanley Mfg. Co.,"Dec. 11, 1939"
Steel Stamping Co.,"Oct. 16, 1939"
"Sunshine Wet Wash Laundry, Inc.","Jan. 12, 1940"
Titan Valve & Mfg. Co.,"Sept. 25, 1939"
"United Motor Freight Terminal, Inc.","July 18, 1939"
United Telephone Co.,"June 3, 1940"
Valley Steel Products Co.,"Feb. 27, 1940"
"A. Werman & Sons, Inc.","Sept. 11, 1939"
Williams Coal Co.,"Nov. 13, 1939"
"Z. B. Yarn Mills, Inc., and Montgomery Dye Works","Aug. 1, 1939"
