Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,All C cases / Percent of total method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
"After issuance of complaint, before opening of hearing",53,0.2,0.7,50,0.3,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dismissal (method/stage subtotal),6509,27.9,100.0,3735,22.0,2706,47.1,41,12.7,13,11.0,7,19.9,1,2.9,6,13.0
"  Before issuance of complaint, before hearing",6451,27.7,99.1,3683,21.7,2702,47.0,41,12.7,13,11.0,7,19.9,1,2.9,6,13.0
"  After hearing opened, before administrative law judge's decision",28,0.1,0.4,24,0.1,3,0.1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0
  By Board decision (sub-total),28,0.1,0.4,27,0.2,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10(k) actions (see Table 7A for details of dispositions),75,0.3,,,,,,,,75,63.6,,,,,,
Otherwise (compliance with order of ALJ or Board not achieved — case out of business etc.) — partial row continues to next page,,,,,,,,,,,,,,,,,
