row_label,col_1,col_2,col_3
21-RD-48,"Products Co., Inc. Allied Chemical & Dye Corp.",1-RD-36 4-RD-13,Kartiganer Hat Corp. Keystone Weaving
7-RD-41,Alma Trailer Co. American Smelting,,"Mills, Inc."
20-RD-9,& Refining Co.,7-RD-36,Kraft Foods Co.
15-RD-12,Arkansas Louisiana Gas Co.,3-RD-22,Liberty Tool & Die Corp.
30-RD-11,Art Neon Co.,9-RD-28,Marietta Metal Prod-
16-RD-33,Best Motor Lines.,,ucts Co.
16-RD-32,"Bethlehem Steel Co., Shipbuilding Division, Beaumont Yard.",21-RD-73 30-RD-10,"Morse & Morse, Inc. Mountain States Tele- phone & Telegraph"
13-RD-14 15-RD-3,"Bond Stores, Inc. Bonita Ribbon Mills & Brewton Weaving.",2-RD-45,Co. McCrory Stores Corp. National Color Printing
2-RD-68,"Brown Brothers Foun- dry, Inc.",5-RD-7,Co.
36-RD-17,"C & MLumber Co., Inc.",18-RD-16,Northwestern Auto Parts Co.
21-RD-69,California Consumers Corp.,21-RD-55,North Whittier Heights Citrus Association.
5-RD-11,"Century Ribbon Mills, Inc.",2-RD-44,"Reliable Tool Co., Inc. Roche Organon, Inc."
32-RD-5,Clayton-Brown Whole- sale Grocery.,2-RD-50 1-RD-37,"Royal Crown of Boston, Inc."
21-RD-19 20-RD-13,Cudahy Packing Co. Cutter Laboratories.,7-RD-5,Solvay Process Co. Southern Bell Telephone
7-RD-46,Detroit Edison Co.,10-RD-13,"& Telegraph Co., Inc."
21-RD-9,Ellis-Klatscher & Co.,16-RD-44 13-RD-13,"Standard Brands, Inc. Standard Oil Co. (In- diana)."
1-RD-10,"Foster Jewelry Co. Fox & Ehrlich, Samuel Fox & Israel Ehrlich,",9-RD-27 1-RD-29,Straitsville Brick Co.
2-RD-56,"Co-partners, d/b/a.",14-RD-23,"Swift & Co., d/b/a Squire, John P., Co. Texas Co., The."
7-RD-17 2-RD-31,Gabriel Steel Co. Gassner Aircraft Engi- neering.,2-RD-30,"Times Appliance Co., . Inc. Univis Lens Co., The."
13-RD-9 8-RD-8,General Motors Corp. Goodyear Tire & Rub-,,
,"ber Co., The.",9-RD-20,
5-RD-13,"Great Atlantic & Pacific Tea Co., The.",1-RD-28,"Veeder-Root, Inc."
5-RD-16,Hiden Warehouse & Forwarding Co.,16-RD-40,"Willborn Brothers Co., Inc."
7-RD-33,Hygrade Food Products Corp.,13-RD-21 16-RD-36 17-RD-14,"Wilson & Co., Inc. Wilson & Co., Inc. Wilson & Co., Inc. Inc."
4-RD-14,International Harvester Co.,,"Wilson & Co., Woodmark Inc.'"
,,18-RD-22 18-RD-9,"Industries,"
2-RD-53,"Ives-Cameron Co., Inc.",19-RD-16,"Wraights, Inc."
