Total elections,Won by unions — Total,Won by unions — AFL-CIO,Won by unions — Teamsters,Won by unions — Other national,Won by unions — Other local,Number of elections no representative chosen,Number of employees eligible to vote,Total valid votes cast for unions,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total valid votes cast against unions,Eligible employees in units choosing union representation,col_15,col_16
Mining (subtotal),90,43,17,8,16,3,47,4283,3729,1557,854,305,569,1872,2090,
Construction,238,122,97,11,8,6,116,5769,4993,2523,2123,253,68,2103,3027,
Wholesale trade,614,220,39,109,7,7,394,35148,18005,16041,7523,3335,5431,19174,14964,
Services (subtotal),1375,729,459,109,112,82,644,88120,72985,36507,24564,3019,1755,6899,37170,
Public administration,2,1,,,,,1,2396,2219,1080,,,,,1139,
"Total, all industrial groups",8043,3623,2037,1066,295,225,4420,577542,506040,246424,151830,38626,28404,27564,259616,212927
