row_label,Total elections,Objections only / Number,Objections only / Percent,Challenges only / Number,Challenges only / Percent,Objections and challenges / Number,Objections and challenges / Percent,Total objections / Number,Total objections / Percent,Total challenges / Number,Total challenges / Percent
All representation elections,8437,760,9.0,251,3.0,147,1.7,907,10.8,398,4.7
By type of case: In RC cases,7774,710,9.1,226,2.9,141,1.8,851,10.9,367,4.7
In RM cases,356,39,11.0,19,5.3,4,1.1,43,12.1,23,6.5
In RD cases,307,11,3.6,6,2.0,2,0.7,13,4.2,8,2.6
By type of election: Consent elections,2217,127,5.7,45,2.0,21,0.9,148,6.7,66,3.0
Stipulated elections,4512,382,8.5,125,2.8,82,1.8,464,10.3,207,4.6
Expedited elections,31,7,22.6,0,,0,,7,22.6,0,
Regional director-directed elections,1572,222,14.1,75,4.8,41,2.6,263,16.7,116,7.4
Board-directed elections,105,22,21.0,6,5.7,3,2.9,25,23.8,9,8.6
