row_label,Number of polls — Total,Number of polls — Resulting in deauthorization — Number,Number of polls — Resulting in deauthorization — Percent of total,Number of polls — Resulting in continued authorization — Number,Number of polls — Resulting in continued authorization — Percent of total,Employees involved — Total eligible,Employees involved — In polls resulting in deauthorization — Number,Employees involved — In polls resulting in deauthorization — Percent of total,Employees involved — In polls resulting in continued authorization — Number,Employees involved — In polls resulting in continued authorization — Percent of total,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Valid votes cast — Cast for deauthorization — Number,Valid votes cast — Cast for deauthorization — Percent of total eligible
Total,134,92,68.7,42,31.3,5702,3025,53.1,2677,46.9,4929,86.4,2557,44.8
AFL-CIO unions,90,62,68.9,28,31.1,4219,2102,49.8,2117,50.2,3660,86.8,1744,41.3
Teamsters,36,26,72.2,10,27.8,1183,847,71.6,336,28.4,988,83.5,742,62.7
Other national unions,4,2,50.0,2,50.0,158,65,41.1,93,58.9,150,94.9,72,45.6
Other local unions,4,2,50.0,2,50.0,142,11,7.7,131,92.3,131,92.3,61,7.0
