row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
National v. National ..........,4,100.0,4,,4,,0,164,164,,164,,0
3 (or more)-union elections..........,12,100.0,12,1,8,3,0,2779,2779,2205,388,186,0
Total representation elections........,2147,55.7,1195,556,550,89,952,152275,83764,29225,43108,11431,68511
B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases
Other national unions,741,56.7,420,,420,,321,48726,24942,,24942,,23784
AFL-CIO..........................................,733,60.6,444,444,,,289,42714,17286,17286,,,25428
Other local unions..............................,100,59.0,59,,,59,41,7684,4977,,,4977,2707
1-union elections..........................,1574,58.6,923,444,420,59,651,99124,47205,17286,24942,4977,51919
National v. Local..............................,21,85.7,18,,15,3,3,1893,1844,,1742,102,49
National v. National..........................,35,77.1,27,,27,,8,7365,6921,,6921,,444
AFL-CIO v. National........................,29,79.3,23,11,12,,6,4458,4031,3353,678,,427
Local v. Local....................................,5,100.0,5,,,5,0,1850,1850,,,1850,0
AFL-CIO v. AFL-CIO......................,29,58.6,17,17,,,12,2274,1362,1362,,,912
AFL-CIO v. Local............................,43,93.0,40,29,,11,3,1906,1722,636,,1086,184
2-union elections..........................,162,80.2,130,57,54,19,32,19746,17730,5351,9341,3038,2016
National v. National v. Local............,1,100.0,1,,1,0,0,93,93,,93,0,0
National v. National v. National........,2,100.0,2,,2,,0,82,82,,82,,0
National v. National v. National v. National..............................................,2,100.0,2,,2,,0,16,16,,16,,0
National v. Local v. Local................,1,100.0,1,,0,1,0,47,47,,0,47,0
