Division and State,Total number of polls,AFL affiliates authorized — Number,CIO affiliates authorized — Number,Unaffiliated unions authorized — Number,No union shop authorized — Number,Employees eligible to vote,Total valid votes cast,Valid votes cast for union shop by affiliation: AFL affiliates,Valid votes cast for union shop by affiliation: CIO affiliates,Valid votes cast for union shop by affiliation: Unaffiliated unions,Valid votes against union shop,Employees in units authorizing union shop
New England — total,516,317,141,28,30,50410,41880,15214,17752,3334,5580,49925
Middle Atlantic — total,1181,576,340,230,35,265254,235331,60931,93743,55477,25180,262640
East North Central — total,1684,1055,409,219,51,476430,401001,64015,266148,35643,45195,455547
West North Central — total,564,349,76,117,22,57269,47224,20912,16585,6113,3614,56771
