Union affiliation,Elections participated in — Total,Elections participated in — Won,Elections participated in — Percent won,Employees involved — Total eligible,Employees involved — Employees in units selecting bargaining agent — Number,Employees involved — Percent of total eligible,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Valid votes cast — Cast for the union — Number,Valid votes cast — Percent of total cast
Total,4215,2849,67.6,515995,378962,73.4,453442,87.9,335393,74.0
A.F. of L.,2946,1721,58.4,318812,140017,43.9,260271,87.9,138636,49.5
C.I.O.,1456,804,55.2,268325,147614,55.0,230283,88.1,123320,52.2
Unaffiliated,528,324,61.4,180449,91341,50.6,153651,85.1,73437,47.8
