Category,Total rerun elections / Number,Total rerun elections / Percent by type,Union certified / Number,Union certified / Percent by type,No union chosen / Number,No union chosen / Percent by type,Outcome of original election reversed / Number,Outcome of original election reversed / Percent by type
All representation elections,198,100.0,75,37.9,123,62.1,60,30.3
By type of case (section header),,,,,,,,
RC cases,188,100.0,71,37.8,117,62.2,58,30.9
RM cases,6,100.0,1,16.7,5,83.3,0,
RD cases,4,100.0,3,75.0,1,25.0,2,50.0
By type of election (section header),,,,,,,,
Consent elections,42,100.0,15,35.7,27,64.3,15,35.7
Stipulated elections,96,100.0,47,49.0,49,51.0,32,33.3
Expedited elections,0,,0,,0,,0,
Regional director-directed elections,58,100.0,12,20.7,46,79.3,13,22.4
Board-directed elections,2,100.0,1,50.0,1,50.0,,
