row_label,Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative chosen,Total employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Valid votes cast for no unions,Eligible employees in elections won by unions
Food and kindred products,70,41,30,1,4,6,29,12962,11609,5028,3966,248,660,85,6581,4843,
Tobacco manufactures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Textile mill products,23,9,7,,,2,14,3021,2627,1469,1464,,,,,1779,
Manufacturing (subtotal),1302,629,412,147,18,52,673,119656,108539,49679,37601,7121,1549,3409,58860,43537,
