row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Mi,Mi,RRi _4-.t.,r .,RAF .v.,RR tea l ',R •-■,EE v3- 4,gg 4te,"El -74 """"","ZN t.: 4 """"",N -■,g -■,A .,g .,R 6,RI§ .4.
,li g 6 1,gn,R,Pg=P,,El,1E,li -;,El,Rg,,g=,4,N,"i c,"" -",04° _
,611 in,VD2,,"E-°,4",°3,°,g72.,"RA .;,.;",RI .46,RN .-,2,R,R,A,R .,°E°
,"ii E..,",' ''1°2 4,M,§ 83 -■,' ''E -■,,HEg,,"RR .■',.■",OR a,F=,'4,,,,
,.50g,"HEE C., CC",,",-"". RFE aa-■",il 4-■,g,RE aa,PH aa,RE ee,EU ea .,g,. A,g ...,§ a,g . g,gRii
,-a t F,"gg E aa """,F 4,i g i 4aa,EH uia,", 'Z. = -■",IF 4a,. . g ee,"R g e.- ""","A5 - 3 ,-a",1,g ...z,E a',g,g -■ Li,R2E •-■
,MO,RRR d.--i,E :::',"gg il . ' cr:,e",gE 7. 4 - :,g ci,gg FIt .:,EM 7.1v.:,E g gg,Ai,R a,g a,R e,i -;,F --,gRg -w
"l ' all z°,...3","l ' all z°,...3","gin --,->",R 7. 7,"ag , , F ,,6 - :",RR,E CC,P 7. 4=,RE s . f .i',U,gg,g a,g a,V Cs,g 0.1,,RR' %
.. V> . gw2A00 z 1 5.P21 t,.. V> . gw2A00 z 1 5.P21 t,n-%,2,F84,AM,4,RA,RE,"Ev,",,0,,3,A,§ a,"m...t, cq"
,01,=_ .,",",,,_,",.",,".,",",.",,,,CO,". ,",
,tl 'i gil,Loo,cq,"mm,",0M,0,00,MC41,a ccA,m%,c4,CO,m.,m .,c ..,oo. .
,"iE m;., E.",73 0 -,°,2 m 2,273,2,,-'17i,gg i,2A,"""","'""",".,",A,R,
,,'-'-:,g3,224,VA,Z,V°,42,At7;,2A,an,,,43,%,'''''''9
,.1 E.,"2'"":4",01,,8 g,g,42,2R,,-4ZgR,,"""",4,8 ...,"P , ..,","04c"""
F..,F..,"7.""-°3 4 PEA ""V g PA 44 54",,,,,,,,P,A,2,,A,c•I,.0
