Stage,Total,Number of cases / Identification of petitioner / Employer,Number of cases / Identification of petitioner / Union,Number of cases / Identification of petitioner / Courts,Number of cases / Identification of petitioner / State boards
"Pending July 1, 1964",4,2,1,,1
Received fiscal 1965,8,4,4,,
On docket fiscal 1965,12,6,5,,1
Closed fiscal 1965,12,6,5,,1
"Pending June 30, 1965",0,,,,
