row_label,col_1,col_2
employers under Sec. 8(a),employers under Sec. 8(a),employers under Sec. 8(a)
A. Charges filed against,,
Subsections of Sec. 8(a) Total cases,23005,100.0
8(aX1) ..........,3805,16.5
8(a)(1)(2),244,1.1
WaX1X3),8189,35.6
8(aX1)(4),165,0.7
8(a)(1)(5),7398,32.2
8(a)(1)(2)(3),176,0.8
8(aX1X2)(4),6,0.0
8(aX1X2)(5),99,0.4
8(aX1X3)(4),567,2.5
8(a)(1)(3)(5),2076,9.0
8(aX1X4)(5),22,0.1
8(aX1)(2)(3)(4),19,0.1
8(aX1)(2)(3)(5),110,0.5
8(a)(1)(2X4)(5) .,1,0.0
8(aX1)(3)(4)(5),101,0.4
8(a)(1)(2)(3)(4X5),27,01
',',
8(a)(I)2,23005,100.0
r 8(a)(2),682,3.0
8(a)(3),11265,49.0
8(aX4),908,3.9
8(aX5) .,9.834,42.7
B. Charges filed against unions under Sec. 8(b),B. Charges filed against unions under Sec. 8(b),
Subsections of Sec. 8(b).,,
Total cases,9099,100.0
8(bX1),6137,67.4
8(b)(2),61,0.7
8(b)(3),174,1.9
8(b)(4),967,10.6
8(b)(5),7,0.1
8(b)(6),11,0.1
8(b)(7),211,2.3
8(b)(1)(2),1060,11.6
8(b)(1)(3),377,4.1
8(b)(1)(5),17,0.2
8(b)(1)(6),9,0.1
8(b)(2)(3),3,0.0
8(b)(2X5),1,0.0
8(bX2)(6),1,0.0
8(b)(3)(6),1,0.0
8(bX1)(2)(3),50,0.5
8(bX1)(2)(5),3,0.0
8(b)(1)(2)(6),3,0.0
8(b)(1)(3X5),3,0.0
8(b)(1)(3X6),1,0.0
8(b)(1)(2X5)(6),2,0.0
