row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Accepted Declined,"5,091 938","5,091 938","4,624 515",73 74,10 22,128 236,256 91,,,,,,
Employees placed on prefer- ential hiring list Hiring hall rights restored Objections to employment withdrawn,769 129,769,600,120,20,16,13,129,84,0,0,42,3
,32,,,,,,,32,30,0,0,2,0
Employees receiving backpay From either employer or union,18229,17888,15851,598,74,896,469,341,280,23,0,37,1
From both employer and union,96,96,32,0,0,64,0,96,32,0,0,64,0
"Employees reimbursed for fees, dues, and fines From either employer or union _",2504,1615,940,23,0,643,9,889,407,0,0,2,480
From both employer and union,3,3,3,0,0,0,0,3,3,0,0,0,0
"covery, total",32071532,31360864,20485086,2911304,351977,5249084,2363413,710668,421236,106682,0,53772,128978
"Backpay (includes all mone- tary payments except fees, dues, and fines) Reimbursement of fees, dues, and fines",31270472,30809462,20086268,2909041,351977,5102608,2359568,461010,203412,106682,0,51531,99385
,801060,551402,398818,2263,0,146476,3845,249658,217824,0,0,2241,29593
