Division and State,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All RM,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization (UD),Amendment of certification (AC),Unit clarification (UC)
South Atlantic — District of Columbia,122,65,27,14,0,0,0,1,20,11,0,9,0,0,2
South Atlantic — Florida,1191,905,84,10,13,1,0,9,122,61,9,52,13,2,20
East South Central — Total,1864,1339,215,12,9,1,3,2,243,205,7,31,4,1,10
West South Central — Texas,1160,887,155,20,8,0,2,4,65,30,6,29,8,0,13
