row_label,Circuit courts of appeals (headquarters),Total fiscal year 1980,Total fiscal years 1975-1979,Affirmed in full — Fiscal Year 1980 — Number,Affirmed in full — Fiscal Year 1980 — Percent,Affirmed in full — Cumulative fiscal years 1975-1979 — Number,Affirmed in full — Cumulative fiscal years 1975-1979 — Percent,Modified — Fiscal Year 1980 — Number,Modified — Fiscal Year 1980 — Percent,Modified — Cumulative 1975-1979 — Number,Modified — Cumulative 1975-1979 — Percent,Remanded in full — Fiscal Year 1980 — Number,Remanded in full — Fiscal Year 1980 — Percent,Remanded in full — Cumulative 1975-1979 — Number,Remanded in full — Cumulative 1975-1979 — Percent,Affirmed in part and remanded in part — Fiscal Year 1980 — Number,Affirmed in part and remanded in part — Fiscal Year 1980 — Percent,Affirmed in part and remanded in part — Cumulative 1975-1979 — Number,Affirmed in part and remanded in part — Cumulative 1975-1979 — Percent,Set aside — Fiscal Year 1980 — Number,Set aside — Fiscal Year 1980 — Percent,Set aside — Cumulative 1975-1979 — Number,Set aside — Cumulative 1975-1979 — Percent
Total all circuits,,449,1520,291,64.8,1035,68.1,48,10.7,164,10.8,23,5.1,71,4.7,8,1.7,39,2.6,79,17.6,211,13.9
"1. Boston, Mass",,13,77,7,52.8,52,67.7,1,7.6,8,10.4,,,,,,,,,5,38.4,16,20.7
