row_label,col_1,col_2
,4. Employer's Hiring of Former Union Organizer.............................,42
B.,Employer Discrimination Against Employees...................................,43
,1. Discriminatory Hiring Policy under Great Dane ...........................,43
,2. Refusal to Hire Predecessor's Employees......................................,44
C.,Employer Bargaining Obligation,....................................................... 45
,1. Unilateral Change,45
,.......................................................................... 2. Bargaining Obligation Prior to Issuing Discipline.........................,45
,3. Bargaining Obligation of Successor Employer..............................,47
,4. Refusal to Adhere to a Collective-Bargaining Agreement.............,48
,D. Union Interference with Employee Rights..........................................,49
,1. Union Request for Employee Discharge........................................,49
,2. Duty of Fair Representation...........................................................,50
,E. Equal Access to Justice Act.................................................................,51
F.,Remedial Order Provision ...................................................................,52
,1. Joint and Several Liability ..............................................................,52
,2. Broad Order ....................................................................................,53
,3. Extension of the Union's Certification ...........................................,53
V.,Supreme Court Litigation ........................................................................,55
VI.,Enforcement Litigation............................................................................,57
,A. Two-Member Board Quorum ............................................................,57
,B. Coverage of the Act-Independent Contractor or Employee.............,58
,C. Availability of Judicial Review..........................................................,59
,D. Duty to Bargain..................................................................................,59
,E. Discrimination Against Protected Activity.........................................,61
,F. The Duty to Give Strike Notice Under Section 8(g)...........................,62
VII.,Injunction Litigation.................................................................................,65
,A. Injunction Litigation Under Section 10(j)..........................................,65
,B. Injunction Litigation Under Section 10(l) ..........................................,68
VIII.,Contempt Litigation and Compliance Branch..........................................,71
IX.,Special Litigation.....................................................................................,75
,A. Litigation Concerning Board and Court Jurisdiction .........................,75
,B. Freedom of Information Act Litigation..............................................,75
,C. Litigation Concerning the Board's Subpoena Power,......................... 76
,D. Litigation Concerning Court Subpoena and the Board's Touhy Requirement.............................................................................,77
,E. Litigation Concerning Section 302 of the LMRA and RICO.............,77
Index of Cases Discussed ..................................................................................,Index of Cases Discussed ..................................................................................,79
Appendix ..........................................,Appendix ..........................................,Appendix ..........................................
,Glossary of Terms Used in Statistical Tables,81
,Subject Index to Annual Report Tables,................................................... 89
,Statistical Tables for Fiscal Year 2009,.................................................... 91
