row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
N W,0,00,g,0.0.0r-1,-7,-0....00.,g,Z.N.,W,...W.,g,
W .,0,00,N -1,000g0.,W,000..000,W,NAN.,to,...P.,N,a.
g,,00,,...IN...,a,cm . . . 0. 0 to,a,m.o.,a,..a0,w,
.,0,00,N,000.0.,0,00000000,0,0000,0,0000,0,00
N,0,00,A,000.0.,0,00000000,0,0000,0,0000,0,00
Z -,m,0m,5 -,0wm-...-,,mwm0m0-m,m,&3-40-1,,,8,uD5
,t,ot,§,04tH2,§,_AET.10.E,,""".--; ..1-1 OgIt","1 :4 g ,","00,K ,s . n.',",P w .?.!,P gg
,E.I,c4 0 -7,oo .-7,p 1- ..Igt 0.-4.-40,.2- 8,'ing.Z1..§,P t,EEEE,E,.c. gEE -,...4 . . .-•,1.7 ft8
ti E,,o o,ou -0. o,.n.'-64,g,..nia 0.t,",t-' a, c.z",,,sft,"cu ,-s",gi. 1
g,,,P',r3,,,,8k5ti,2,5eM',N 7 i1,q
.0 g,,",:-.",g,t3 ...t,83,i-ss'Evt....g,g,'innis,g,- o.n.,E,nE
E,0,00,. g,. 000W0g,W,0000.000,0,0000,0,0000,,00
§,M,0.,R .,000 CC,0,00000000,5,5000,0,0000,0,00
,,0 N,... '4,". 5 ',-, 0 t8Z4-","..,",EnEn'ol..n,- n,.litE,8,Eggg,,ei .'..
_ 0,", 0",oo,5.. §,0.0.0E,g,OW■w.0027,.. 8,5 SE.-.4,g,UnEE,P E,-E
