row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Washington,828,600,493,103,2,0,0,1,1,200,147,7,46,9,2,17
Oregon,386,286,226,50,6,4,0,0,0,93,67,s,IS,I,0,6
California,3989,3312,2462,769,45,14,2,5,15,632,518,23,91,15,4,26
Alaska,148,110,67,43,0,0,0,0,0,35,32,0,3,0,0,3
Hawaii,553,488,431,50,1,4,0,1,1,64,52,4,8,0,0,1
Guam,36,35,35,0,0,0,0,0,0,1,1,0,0,0,0,0
Pacific,5940,4831,3714,1015,54,22,2,7,17,1025,817,42 ...,166,25,6,53
Puerto Rico,476,380,302,73,2,0,1,2,0,90,77,1,12,3,0,3
Virgin Islands,31,18,13,5,0,0,0,0,0,12,12,0,0,0,0,1
Outlying areas,507,398,315,78,2,0,1,2,0,102,89,1 ...,12,3,0,4
"Total, all States and areas",36637,30421,23622,5926,503,166,58,25,121,5829,".4,806",175,848,102,12,273
