row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RD elections,22055,456,100 0,,135,100 0,,100 0,11,1000,309,100 0
Under 10,587,102,224,224,II,811,o,,2,182,89,28 8
10 to 19,1520,107,23 5,45 9,23,17 0,o,,2,182,82,26 5
20 to 29,1387,58,127,58 6,17,126,o,,3,27 2,38,12 3
30 to 39,1245,36,79,66 5,10,74,i,100,1,91,24,78
40 to 49,1031,23,50,71 5,12,89,o,,1,91,10,33
50 to 59,1267,23,50,76 5,13,96,o,,0,,10,33
60 to 69,758,12,26,79 I,6,44,o,,0,,6,19
70 to 79,1551,21,46,83 7,7,52,o,,0,,14,45
80 to 89,1023,12,26,86 3,3,22,o,,1,91,a,26
90 to 99,844,9,20,88 3,4,30,o,,0,,5,16
100 to 109,926,9,20,903,6,44,o,,0,,3,10
110 to 119,232,2,04,907,1,07,o,,0,,1,03
120 to 129,507,4,09,916,1,07,o,,0,,3,10
130 to 139,260,2,04,92 0,1,07,o,,0,,1,03
140 to 149,285,2,04,924,2,16,o,,o,,0,
150 to 159,1066,7,IS,93 9,5,37,o,,o,,2,06
160 to 169,324,2,04,94 3,2,16,o,,o,,0,
170 to 199,1069,6,13,95 6,3,22,o,,o,,3,10
200 to 299,3092,13,29,98 5,5,37,o,,1,91,7,23
300 to 499,1682,4,09,994,2,16,o,,o,,2,06
500 to 799,555,1,03,997,1,07,o,,0,,0,
800 and Over,844,1,03,100 0,0,,o,,o,,1,03
