row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all",5915,100 0,4917,100 0,165,100 0,833,100 0,92,100 0
"Certification issued, total",3781,639,3263,664,57,345,461,553,63,685
After,,,,,,,,,,
Consent election,14,2,II,2,1,6,2,2,3,3 3
Before notice of hearing,2,0,0,0,I,6,1,1,3,3 3
"After notice of hearing, before hearing closed",12,2,11,2,0,0,. 1,I,0,0
"After hearing closed, before decision",0,0,0,0,0,0,0,0,0,0
Stipulated election,3293,557,2814,572,46,279,433,520,37,402
Before notice of hearing,794,134,629,128,17,103,148,178,34,370
"'After notice of hearing, before hearing closed",2484,420,2171,442,29,176,284,34 I,3,33
"After heanng closed, before decision .",15,3,14,3,0,0,1,", 1",0,0
Expedited election,2,0,0,0,2,I 2,0,0,0,0
Regional Director-directed election,471,80,437,89,s,48,26,3 I,23,250
Board-directed election,1,0,I,0,0,0,0,0,0,0
"By withdrawal, total",1916,324,1559,31 7,76,461,281,337,24,261
Before notice of hearing,495,84,333,68,35,212,127,152,21,228
"After notice of hearing, before hearing closed",1284,21 7,1098,22 3,39,23 6,• 147,176,3,3 3
"After hearing closed, before decision",25,4,24,5,0,0,1,1,0,0
After Regional Director's decision and direction of election,112,19,104,21,2,12,6,7,0,0
After Board decision and direction of election,0,0,0,0,0,0,0,0,0,0
"By dismissal, total",217,3 7,94,1 9,32,194,91,109,5,5 4
Before notice of heanng,69,I 2,8,2,17,103,44,5 3,4,4 3
"After notice of heanng, before hearing closed",65,II,21,4,9,55,35,42,I,II
"After hearing closed, before decision",I,0,I,0,0,0,0,0,0,0 0
By Regional Director's decision,111,I 4,63,I 3,6,3 6,12,1 4,0,0
By Board decision,I,0,1,0,0,0,0,0,0,
