row_label,col_1,col_2,col_3
19-R-2159 19-11-2189,Montgomery Ward & Co. Montgomery Ward & Co.,9-R-2750,"Strobridge Lithographic Co., The."
19-11-2167 20-11-2311,"Pacific Airmotive Corp. Pacific Airmotive Corp., Oakland Branch.",5W-R-127 19P-R-53,"Textron Southern, Inc. Tide Water Associated Oil Co."
13-R-4368 13-R-4446,Peanut Specialty Co. Peoria Casket Co.,14-11-1730,Union Starch & Refining Co.
9-11-2759,"Pfening, Fred D., Co., The.",13-R-4483,"United States Industries Chemicals, Inc."
13-R-4543,Productive Equipment Corp.,13-R-4417,United States Rubber Co.
14-11-1795,Public Ice Service Co.,,
20-R-2194,"Remington Rand, Inc.",10-R-2809,"Wehadkee Yarn Mill, Chinabee Mill Divi- sion."
14-11-1384,Sohio Pipe Line Co.,,Westinghouse Electric
6-11-1742,"Sperti Foods, Inc.",6-R-1733,Corp.
2. LMRA-RC cases,2. LMRA-RC cases,2. LMRA-RC cases,2. LMRA-RC cases
13-RC-86,A. B. T. Manufacturing Co.,1-RC-161,Anderson Engineering Co.
13-RC-92,A. B. T. Manufacturing Co.,14-RC-71 5-RC-3,"Anheuser-Busch, Inc. Appalachian Electric"
17-RC-142,Acme Foundry & Ma- chine Co.,13-RC-100,"""Power Co. Arcola Foundry & Man-"
18-RC-94,Addressograph Sales Agency.,15-RC-74,ufacturing Co. Arkansas Fuel Oil Co.
35-RC-12 2-RC-39,Admiral Corp. Aircraft Parts & Tool,13-RC-63 • 2-RC-23,Arlington Seating Co. Armour & Co. Armour & Co.
13-RC-27,Manufacturing Co. Alco-Deree Co.,13-RC-83 16-RC-26,Armour & Co. Arrow Manufacturing
13-RC-28 14-RC-119,Alco-Deree Co. Alco Valve Co.,2-RC-209,Co. Inc.
14-RC-16 14-RC-141,"All-Die, Inc. American Asphalt Roof",14-RC-145 14-RC-55,' Atlas Leather Co. Autocar Sales & Service
17-RC-95,Corp. American Asphalt Roof-,14-RC-125,"Co. Automatic Devices, Inc."
1-RC-329,ing Co. American Belt Co. (for-,8-RC-40,Babcock Printing Press Corp.
13-RC-213,merly Atlas Felt Prod- ucts). American Brake Shoe,21-RC-17 13-RC-185 1-RC-22,"Bagdad Copper Corp. Bakelite Corp. Baker Ice Machine Co.,"
14-RC-304,"Co., American Forge Division, Upset Plant. American • Brake Shoe Co., Ramapo Ajax",16-RC-1(12 13-RC-144,"Inc. Baker Oil Tools. Inc. Barnes & Reinecke, Inc.,"
,Division. American Calendar Co.,7-RC-6,Shoeberg Division of. Bechtold Upholstering
10-RC-134 1-RC-146,"American Can Co., Lubec",,Co. Bemis Bros. Bag Co.
4-RC-20,"Maine Plant. American Cyanamid Co., Caleo Chemical Divi-",21-RC-26 4-RC-101,Berks Building Block Corp. •
14-RC-88,sion. American Lithofold Corp. American Machine De-,14-RC-289 1-RC-362,Bianco Upholstering Co. Blake Manufacturing
5-RC-5,velopment Corp.,,Corp.
14-RC-268,"American Stove Co., St.",17-RC-15 2-RC-307,"Blended Products, Inc. Bliss, E. W., Co."
5-RC-69,"Louis Division. American Suppliers, Inc.",13-RC-93,"Blue Island Specialty Co., Inc."
31-RC-14,American Welding & En-,4-RC-149,Boiardi Steel Corp.
,gineering Corp.,2-RC-364,"Bolinders Co., Inc."
