row_label,col_1,col_2,col_3
31-RC-21 2-RC-195,"Borg, George W., Corp. Brassner Manufacturing Co., Inc. & Bryam",13-RC-58 18-RC-35,Daniels-Kummer En- graving Co. Daniels Manufacturing
1-RC-351,Plating Co. Co.,14-RC-43,Co. Darling & Co. Davison Chemicals
17-RC-85,"Brown Brown, Sam, Auto Parts Distributing Co.",18-RC-16,"Corp., The."
10-RC-186,Buckeye Cotton Oil Co.,16-RC-56 1-RC-152,Dearborn Stove Co. Dedham Transfer
14-RC-264,"Buckeye Cotton Eye Oil Co., The.",,"Co., Inc."
3-RC-4,Buffalo Tool & Die Man- ufacturing Co.,18-RC-44,"Deere, John, Des Moines Works."
18-RC-87,"Burlington Truck Lines, Inc.",18-RC-43,"Deere Manufacturing Co., John Deere Des Moines Works."
4-RC-30,Camden County Bever- age Co.,18-RC-47,"Deere Manufacturing Co., John Deere Des"
10-RC-1,"Carbide & Carbon Chem- ical Corp., The.",,"Moines Works. Delman Corp., The."
10-RC-91,Certain-Teed Products Corp.,18-RC-85 10-RC-122,"Delmar Cabinet Co., Inc."
10-RC-98,Certain-Teed Products Corp.,2-RC-313,Detroit Mold Engineer- ing Co.
14-RC-25,Central Die & Supply Co.,10-RC-52,"Dickey, W. S., Clay Manufacturing Co."
14-R C-302,Central Fire Truck Corp.,16-RC-44,"Dickey, W. S., Clay"
14-RC-282,"Century Brass Works, Inc.",,"Manufacturing Co. Dieckbrader, R. E."
5-RC-40,Chesapeake & Potomac Telephone Co. of West Virginia.,9-RC-32 14-RC-153 14-RC-183 5-RC-19,Diestal Tool & Die Co. Diestal Tool & Die Co. Dobson Hosiery Mills.
2-RC-320 2-RC-68,Chris Craft Textile Co. Citro Chemical Co. of America.,1-RC-162 34-RC-33 34-11.0-52,"Doelcam Corp. Drexel Furniture Co. Drexel Furniture Co. Droll, J. W., Co."
18-RC-23,"City Welding Co., Ltd. Clearview Equipment Manufacturing Co.",6-RC-88,Duquesne Light
37-RC-3 14-RC-157,&,13-RC-14 14-RC-28,"Dunham, Co., The. Co. Duquesne Light Co."
,"Clinton Garment Co., The.",6-RC-90,Duro-Chrome Corp.
1-RC-88,"Clover Bead & Jewelry Co., Inc.",14-RC-89 14-RC-202,Dyer & O'Hare Hauling Co.
34-RC-1 14-RC-214,Cocker Machine & Foundry Co. Colonial Baking Co.,1-RC-304,"Eastern Industries, Inc. Eaton Furniture Shop."
14-RC-76 14-RC-205,Columbia Brewing Co. Columbia Motors,7-RC-11 14-RC-20,"Echo Supplies Co. Edelmann, E., & Co."
14-RC-204,Serv- ice Co.,13-RG-37 13-RC-44 18-RC-125,"Edelmann, E., & Co. Electric Service System,"
35-RC-16,"Columbia Terminals Co. Columbus Process Co., Inc.",5-RC-53,Inc. Emerson & Orme.
,Commercial Stoker Re- pair Co.,,"Erstein, Bernard L., Co., Esso Standard Oil Co."
14-RC-208,,7-RC-5,Inc.
13-RC-59 16-RC-63,"Conkey, H. D., & Co. Consolidated Vultee Air-",1-RC-181 14-RC-72,Fairmont Foods Co.
14-RC-323,"Complete Auto Transit, Inc.",2-RC-225,Falstaff Brewing Corp.
34-RC-34,craft Corp.,18-RC-8 7-RC-12,Faribault Woolen Mills. Firestone Tire &
,Continental Furniture Co.,,Rubber Co.
13-RC-46,"Craft Manufacturing Co. Co.,",5-RC-60,Fisher Brush Machinery Corp.
18-RC-17,Crankshaft Service Inc.,8-RC-90,"Flexible Co., The."
,Curran Printing Co.,,Foley Hallquist Die Co.
14-RC-103,,14-RC-22,
