row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,1110,100 0,1538,100 0
Board orders enforced in full,166,60 0,920,598
Board orders enforced with modification,15,13 6,314,20.4
Remanded to Board,4,36,29,19
Board orders partially enforced and partially remanded,2,18,9,.6
Board orders set aside,23,21 0,266,173
Cases decided by United States Supreme Court,1,100 0,90,100 0
Board orders enforced in full,1,100 0,64,711
Board orders enforced with modification,,,11,122
Board orders set aside,,,7,78
Remanded to Board,,,1,11
Remanded to Court of Appeals,,,6,67
Board's request for remand or modification of enforcement order denied,,,1,1.1
