Stage,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
RC Cases,,,,,,,
"Pending July 1, 1967 (RC)",2546,1710,597,137,98,4,
Received fiscal 1968 (RC),10449,6179,3010,843,390,27,
On docket fiscal 1968 (RC),12995,7889,3607,980,488,31,
Closed fiscal 1968 (RC),10559,6287,3011,870,368,23,
"Pending June 30, 1968 (RC)",2436,1602,596,110,120,8,
RM Cases,,,,,,,
"Pending July 1, 1967 (RM)",222,,,,,,222
Received fiscal 1968 (RM),1091,,,,,,1091
On docket fiscal 1968 (RM),1313,,,,,,1313
Closed fiscal 1968 (RM),1103,,,,,,1103
"Pending June 30, 1968 (RM)",210,,,,,,210
RD Cases,,,,,,,
"Pending July 1, 1967 (RD)",124,0,1,0,0,123,
Received fiscal 1968 (RD),767,7,1,0,5,754,
On docket fiscal 1968 (RD),891,7,2,0,5,877,
Closed fiscal 1968 (RD),747,5,1,0,5,736,
"Pending June 30, 1968 (RD)",144,2,1,0,0,141,
