Identification of filing party / Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers,col_6,col_7
All cases,,,,,,,
"Pending October 1, 1996",36068,21010,1247,1710,10490,1611,
Received fiscal 1997,39618,22089,795,1796,13031,1907,
On docket fiscal 1997,75686,43099,2042,3506,23521,3518,
Closed fiscal 1997,38437,21234,891,1723,12620,1969,
"Pending September 30, 1997",37249,21865,1151,1783,10901,1549,
Unfair labor practice cases,,,,,,,
"Pending October 1, 1996",33572,19402,1176,1512,10070,1412,
Received fiscal 1997,33439,17737,621,1321,12099,1661,
On docket fiscal 1997,67011,37139,1797,2833,22169,3073,
Closed fiscal 1997,32341,16994,720,1251,11671,1705,
"Pending September 30, 1997",34670,20145,1077,1582,10498,1368,
Representation cases,,,,,,,
"Pending October 1, 1996",2223,1521,67,180,362,93,
Received fiscal 1997,5810,4182,169,446,845,168,
On docket fiscal 1997,8033,5703,236,626,1207,261,
Closed fiscal 1997,5717,4070,164,438,862,183,
"Pending September 30, 1997",2316,1633,72,188,345,78,
Union-shop deauthorization cases,,,,,,,
"Pending October 1, 1996",58,,,,58,,
Received fiscal 1997,87,,,,87,,
On docket fiscal 1997,145,,,,145,,
Closed fiscal 1997,87,,,,87,,
"Pending September 30, 1996",58,,,,58,,
Amendment of certification cases,,,,,,,
"Pending October 1, 1996",12,4,0,5,0,3,
Received fiscal 1997,14,8,1,2,0,3,
On docket fiscal 1997,26,12,1,7,0,6,
Closed fiscal 1997,16,8,1,4,0,3,
"Pending September 30, 1997",10,4,0,3,0,3,
Unit clarification cases,,,,,,,
"Pending October 1, 1996",203,83,4,13,0,103,
Received fiscal 1997,268,162,4,27,0,75,
On docket fiscal 1997,471,245,8,40,0,178,
Closed fiscal 1997,276,162,6,30,0,78,
"Pending September 30, 1997",195,83,2,10,0,100,
