Mode of disposition,Number of cases,Percentage of — Total cases closed,Percentage of — Total cases on docket,Number of workers involved,Percentage of — Total number of workers involved in cases closed,Percentage of — Total number of workers involved in cases on docket
"Cases pending June 30, 1938",2123,,42.2,967215,,61.5
"Cases received July 1, 1938 to July 1, 1939",2902,,57.8,606206,,38.5
Total cases on docket,5025,,100.0,1573421,,100.0
Cases closed before formal action:,,,,,,
By settlement,1335,44.5,26.6,169528,28.6,10.8
By dismissal,233,7.8,4.6,27855,4.7,1.8
By withdrawal,819,27.3,16.3,210428,35.5,13.4
Otherwise,16,.5,.3,9393,1.6,.6
Total cases closed before formal action,2403,80.1,47.8,417204,70.4,26.6
Cases closed after formal action:,,,,,,
By settlement before hearing,24,.8,.5,5894,1.0,.4
By settlement after hearing,32,1.1,.6,12083,2.0,.8
By dismissal before hearing,9,.3,.2,5249,.9,.3
By dismissal after hearing,17,.6,.3,2253,.4,.1
By withdrawal before hearing,22,.7,.4,2544,.4,.2
By withdrawal after hearing,26,.8,.5,10198,1.7,.7
By intermediate report finding no violation,5,.2,.1,263,(1),(1)
By compliance with intermediate report,14,.5,.3,2206,.4,.1
By issuance of decisions and orders:,,,,,,
Certification,245,8.1,4.9,98097,16.5,6.2
Compliance,109,3.6,2.2,21072,3.6,1.3
Dismissal of complaint or petition,95,3.2,1.9,16085,2.7,1.0
Total cases closed after formal action,598,19.9,11.9,175974,29.6,11.1
"Total cases closed July 1, 1938 to June 30, 1939",3001,100.0,,593178,100.0,
"Cases pending June 30, 1939",2024,,40.3,980243,,62.3
