Division and State,Total number of polls,Number of polls — A.F. of L. affiliates authorized,Number of polls — C.I.O. affiliates authorized,Number of polls — Unaffiliated unions authorized,Number of polls — No union authorized,Employees eligible to vote,Total valid votes cast,Valid votes cast for union-shop by affiliation of petitioner — A.F. of L. affiliates,C.I.O. affiliates,Unaffiliated unions,Valid votes cast against union-shop,Employees in units authorizing union shop
New England,455,392,203,0,11,92777,70764,12362,46288,8859,9255,92599
Maine,17,13,3,0,1,2598,2315,1094,958,0,223,2591
Massachusetts,264,180,24,0,5,65000,57000,7979,38896,3341,1652,8907
Middle Atlantic,1612,707,637,231,37,626729,535200,117025,313371,23193,64719,617891
New York,717,365,204,99,12,192932,159558,96276,54290,8418,9302,187975
New Jersey,359,164,109,61,10,77266,64447,8416,41047,8235,6992,72110
Pennsylvania,540,178,304,64,9,356601,284222,12331,218034,6540,48425,357716
East North Central,1706,780,695,193,38,594378,495407,47002,336871,32242,60892,384811
Ohio,504,220,208,47,19,234311,206501,15820,153994,10250,26398,153754
West North Central,606,320,150,36,9,37988,29000,10125,14992,2328,3738,36378
South Atlantic,164,94,35,12,4,55338,46890,6295,35756,980,3859,58311
