Type of election,All R elections Total elections,All R elections Withdrawn or dismissed before certification,All R elections Resulting in a rerun before certification,All R elections Resulting in certification,All R elections Rerun or runoff,RC elections Total elections,RC elections Withdrawn or dismissed before certification,RC elections Resulting in a rerun before certification,RC elections Resulting in certification,RM elections Total elections,RM elections Withdrawn or dismissed before certification,RM elections Resulting in a rerun before certification,RM elections Resulting in certification,RD elections Total elections,RD elections Withdrawn or dismissed before certification,RD elections Resulting in a rerun before certification,RD elections Resulting in certification
All types,9795,91,220,9484,,8608,86,212,8308,331,3,1,327,856,0,7,849
Rerun required,,,170,,,,,162,,,,1,,,,7,
Runoff required,,,50,,,,,50,,,,,,,,,
Consent elections,858,2,20,838,,719,2,20,697,0,0,0,0,26,0,,113
Consent: Rerun/Runoff required,,,16,,,,,16,,,,,,,,,
Stipulated elections,7128,57,146,6925,,6288,56,141,6091,227,1,1,223,613,0,4,609
Regional director-directed,1721,32,49,1640,,1538,30,46,1462,54,2,0,52,129,0,3,126
Board-directed,64,0,5,59,,39,0,5,34,5,0,0,5,4,0,0,4
Expedited - sec. 8(b)(7)(C),24,0,0,24,,4,0,0,4,20,0,0,20,,,,
