row_label,Participating unions,Number of elections (or pay-roll checks) conducted,Elections or pay-roll checks won — By A. F. of L. affiliates — Number,Elections or pay-roll checks won — By A. F. of L. affiliates — Percent of total,Elections or pay-roll checks won — By C. I. O. affiliates — Number,Elections or pay-roll checks won — By C. I. O. affiliates — Percent of total,Elections or pay-roll checks won — By national unaffiliated unions — Number,Elections or pay-roll checks won — By national unaffiliated unions — Percent of total,Elections or pay-roll checks won — By local unaffiliated unions — Number,Elections or pay-roll checks won — By local unaffiliated unions — Percent of total,Votes cast — For A. F. of L. affiliates — Number,Votes cast — For A. F. of L. affiliates — Percent of total,Votes cast — For C. I. O. affiliates — Number,Votes cast — For C. I. O. affiliates — Percent of total,Votes cast — For national unaffiliated unions — Number,Votes cast — For national unaffiliated unions — Percent of total,Votes cast — For local unaffiliated unions — Number,Votes cast — For local unaffiliated unions — Percent of total,Votes cast — Against unions — Number,Votes cast — Against unions — Percent of total,Total valid votes
A. F. of L. affiliates,921,733,79.6,,,,,,,95390,74.1,,,,,,,33315,25.9,128714,
C. I. O. affiliates,893,,,729,81.6,,,,,,,,197995,,,,,,57966,,245746
Total (all participating-union combinations) — 10 row types: AFL only / CIO only / National unaffiliated only / Local unaffiliated only / AFL+CIO / AFL+National-unaff / AFL+Local-unaff / AFL+CIO+National-unaff / CIO+National-unaff / CIO+Local-unaff,2568,925,36.0,901,35.1,53,2.1,152,5.9,181069,24.8,335409,46.0,22444,3.1,53892,7.0,140012,,729915,
