row_label,Number of cases showing specific allegations,Percent of total cases
A. Charges filed against employers under sec. 8(a) — Total cases,23496,100.0
Sec. 8(a) subsection breakdown,,
8(a)(1),23496,100.0
8(a)(2),1003,4.3
8(a)(3),15090,64.2
8(a)(4),758,3.2
8(a)(5),6729,28.6
B. Charges filed against unions under sec. 8(b) — Total cases,10806,100.0
Sec. 8(b) subsection breakdown,,
8(b)(1),7266,67.2
8(b)(2),1921,17.8
8(b)(3),854,7.9
8(b)(4),2265,21.1
8(b)(5),30,0.3
8(b)(6),8,0.1
8(b)(7),444,4.1
B1. Analysis of 8(b)(4) — Total cases 8(b)(4),2265,100.0
8(b)(4)(A),92,4.1
8(b)(4)(B),1694,74.7
8(b)(4)(C),3,0.1
8(b)(4)(D),446,19.7
8(b)(4)(A)(B),24,1.1
8(b)(4)(B)(C),6,0.3
8(b)(4)(A),116,5.1
8(b)(4)(B),1724,76.1
8(b)(4)(C),9,0.4
8(b)(4)(D),446,19.7
B2. Analysis of 8(b)(7) — Total cases 8(b)(7),444,100.0
8(b)(7)(A),101,22.7
8(b)(7)(B),27,6.1
8(b)(7)(C),313,70.6
8(b)(7)(A)(B),1,0.3
8(b)(7)(B)(C),8,1.1
8(b)(7)(A),110,24.8
8(b)(7)(B),37,8.3
8(b)(7)(C),321,72.3
C. Charges filed under sec. 8(e) — Total cases 8(e),115,100.0
Against unions alone,106,92.2
Against employers alone,3,2.6
Against unions and employers,6,5.2
D. Charges filed under sec. 8(g),,
