Section,Total proceedings,"Injunction proceedings — Pending in district court Oct. 1, 1992",Injunction proceedings — Filed in district court FY1993,Disposition of injunctions — Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept. 30, 1993"
Under Sec. 10(e) total,0,0,0,0,0,0,0,0,0,0,0
Under Sec. 10(j) total,38,5,33,33,8,3,17,4,1,0,0
Under Sec. 10(l) total,50,5,45,45,21,2,10,7,5,0,5
