row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
July,583,179,404,,5.0,5.7,
Aug. 1-Aug. 21,356,117,239,,3.2,3.4,
Aug. 22-Aug. 31,80,41,39,0,1.1,.6,0
September,541,368,163,10,10.2,2.3,(5)
October,967,442,334,141,12.3,5.5,.5
November,1380,257,523,600,7.1,7.4,2.3
December,2068,240,481,1347,6.7,6.8,5.2
January,3008,823,566,2119,9.0,8.1,8.1
February,4.527,303,664,3560,8.4,9.4,13.6
March,6236,417,941,,11.6,13.4,18. 7-
,6960,815,,4.878,8.8,13.0,22.0
April,4805,273,916 769,"3,729 3,763",7.6,10.9,14.4
May,3224,323,,3952,,,
June,,,949,,9.0,13.5,15.2
