Division and State,Total elections,Number of elections in which representation chosen — Total,AFL-CIO,Teamsters,Other national,Other local,Number of elections in which no representation chosen,Total valid votes cast,Valid votes cast in elections won — Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Total eligible voters
South Atlantic — Florida,61,10,,,,,51,,,,,,,,2051
South Atlantic TOTAL,252,81,,,,,171,,,,,,,,
East South Central TOTAL,167,56,,,,,111,,,,,,,,
West South Central — Texas,92,22,14,,,,70,,,,,,,,
West South Central TOTAL,137,47,,,,,90,,,,,,,,
Mountain TOTAL,164,51,,,,,113,,,,,,,,
