row_label,Total,Identification of filing party / AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"RC cases - Pending October 1, 1976",3864,2262,1007,193,373,29,
RC cases - Received fiscal 1977,11578,6537,3618,629,744,50,
RC cases - On docket fiscal 1977,15442,8799,4625,822,1117,79,
RC cases - Closed fiscal 1977,12471,7025,3821,588,969,68,
"RC cases - Pending September 30, 1977",2971,1774,804,234,148,11,
"RM cases - Pending October 1, 1976",333,,,,,,333
RM cases - Received fiscal 1977,987,,,,,,987
RM cases - On docket fiscal 1977,1320,,,,,,1320
RM cases - Closed fiscal 1977,1098,,,,,,1098
"RM cases - Pending September 30, 1977",222,,,,,,222
"RD cases - Pending October 1, 1976",441,1,1,0,4,435,
RD cases - Received fiscal 1977,1793,11,4,1,7,1770,
RD cases - On docket fiscal 1977,2234,12,5,1,11,2205,
RD cases - Closed fiscal 1977,1867,10,4,1,10,1842,
"RD cases - Pending September 30, 1977",367,2,1,0,1,363,
